fiscal_period_end,total_equity,total_debt,cash_and_equivalents,revenue,gross_profit,operating_income,ebit,net_income,shares_outstanding,revenue_ttm,gross_profit_ttm,operating_income_ttm,ebit_ttm,net_income_ttm,ticker
2024-06-30,119347000000.0,130604000000.0,3093000000.0,59825000000.0,,11607000000.0,11607000000.0,7042000000.0,7194000000.0,122086000000.0,,22505000000.0,22505000000.0,11942000000.0,T
2024-09-30,116282000000.0,129012000000.0,2586000000.0,90038000000.0,,13723000000.0,13723000000.0,6868000000.0,7197000000.0,121718000000.0,,18038000000.0,18038000000.0,6598000000.0,T
2024-12-31,118245000000.0,123532000000.0,3298000000.0,-57555000000.0,,-12128000000.0,-12128000000.0,-6407000000.0,7199000000.0,122336000000.0,,19049000000.0,19049000000.0,10948000000.0,T
2025-03-31,119858000000.0,126161000000.0,6885000000.0,30626000000.0,,5754000000.0,5754000000.0,4351000000.0,7213000000.0,122934000000.0,,18956000000.0,18956000000.0,11854000000.0,T
2025-06-30,121394000000.0,132311000000.0,10499000000.0,61473000000.0,,12255000000.0,12255000000.0,8851000000.0,7211000000.0,124582000000.0,,19604000000.0,19604000000.0,13663000000.0,T
2025-09-30,126755000000.0,139468000000.0,20272000000.0,92182000000.0,,18374000000.0,18374000000.0,18165000000.0,7193000000.0,126726000000.0,,24255000000.0,24255000000.0,24960000000.0,T
2007-11-30,42800000000.0,,,,,,,11599000000.0,433000000.0,,,,,,GS
2008-05-30,,,,,,,,3598000000.0,430300000.0,,,,,,GS
2008-08-29,,,,,,,,4443000000.0,429300000.0,,,,,,GS
2008-11-28,64369000000.0,,,,,,,2322000000.0,442537317.0,,,,,21962000000.0,GS
2008-12-26,63054000000.0,,,,,,,-780000000.0,485500000.0,,,,,9583000000.0,GS
2009-03-27,,,,,,,,1814000000.0,477400000.0,,,,,7799000000.0,GS
2009-06-26,62813000000.0,,,,,,,5249000000.0,510736634.0,,,,,8605000000.0,GS
2009-09-25,65354000000.0,,,,,,,8437000000.0,513055963.0,,,,,14720000000.0,GS
2009-12-31,70714000000.0,197950000000.0,,,,,,-6255000000.0,515113890.0,,,,,9245000000.0,GS
2010-03-31,72944000000.0,,,,,,,3456000000.0,514190734.0,,,,,10887000000.0,GS
2010-06-30,73819000000.0,192668000000.0,,,,,,4069000000.0,515486866.0,,,,,9707000000.0,GS
2010-09-30,75657000000.0,198254000000.0,,,,9418000000.0,9418000000.0,5967000000.0,511518083.0,,,,,7237000000.0,GS
2010-12-31,77356000000.0,260618000000.0,39788000000.0,,,,,-3496000000.0,507530772.0,,,,,9996000000.0,GS
2011-03-31,72469000000.0,184059000000.0,,,,4040000000.0,4040000000.0,2735000000.0,517917496.0,,,,,9275000000.0,GS
2011-06-30,72356000000.0,266284000000.0,,,,5652000000.0,5652000000.0,3822000000.0,507855774.0,,,,,9028000000.0,GS
2011-09-30,70088000000.0,272301000000.0,,,,4922000000.0,4922000000.0,3429000000.0,492622657.0,,,,,6490000000.0,GS
2011-12-31,70379000000.0,259947000000.0,56008000000.0,,,-8445000000.0,-8445000000.0,-5544000000.0,485467565.0,,,6169000000.0,6169000000.0,4442000000.0,GS
2012-03-31,71656000000.0,253452000000.0,,,,3181000000.0,3181000000.0,2109000000.0,495210854.0,,,5310000000.0,5310000000.0,3816000000.0,GS
2012-06-30,72855000000.0,241476000000.0,,,,4596000000.0,4596000000.0,3071000000.0,480990890.0,,,4254000000.0,4254000000.0,3065000000.0,GS
2012-09-30,73687000000.0,244542000000.0,63639000000.0,,,6894000000.0,6894000000.0,4583000000.0,471430795.0,,,6226000000.0,6226000000.0,4219000000.0,GS
2012-12-31,75716000000.0,243619000000.0,72669000000.0,,,-3464000000.0,-3464000000.0,-2288000000.0,465148387.0,,,11207000000.0,11207000000.0,7475000000.0,GS
2013-03-31,77228000000.0,176978000000.0,63333000000.0,,,3373000000.0,3373000000.0,2260000000.0,460782218.0,,,11399000000.0,11399000000.0,7626000000.0,GS
2013-06-30,78043000000.0,171038000000.0,72398000000.0,,,6018000000.0,6018000000.0,4191000000.0,450480540.0,,,12821000000.0,12821000000.0,8746000000.0,GS
2013-09-30,77616000000.0,234374000000.0,65478000000.0,,,8185000000.0,8185000000.0,5708000000.0,441499049.0,,,14112000000.0,14112000000.0,9871000000.0,GS
2013-12-31,78467000000.0,169500000000.0,61133000000.0,,,-5839000000.0,-5839000000.0,-4119000000.0,446359012.0,,,11737000000.0,11737000000.0,8040000000.0,GS
2014-03-31,79099000000.0,173782000000.0,58858000000.0,,,3021000000.0,3021000000.0,2033000000.0,448032463.0,,,11385000000.0,11385000000.0,7813000000.0,GS
2014-06-30,81629000000.0,174277000000.0,56983000000.0,,,5842000000.0,5842000000.0,4070000000.0,440734836.0,,,11209000000.0,11209000000.0,7692000000.0,GS
2014-09-30,82275000000.0,173291000000.0,54150000000.0,,,9147000000.0,9147000000.0,6311000000.0,435734150.0,,,12171000000.0,12171000000.0,8295000000.0,GS
2014-12-31,82797000000.0,234920000000.0,57600000000.0,,,-5653000000.0,-5653000000.0,-3937000000.0,430259102.0,,,12357000000.0,12357000000.0,8477000000.0,GS
2015-03-31,85127000000.0,174008000000.0,63129000000.0,,,3934000000.0,3934000000.0,2844000000.0,432093034.0,,,13270000000.0,13270000000.0,9288000000.0,GS
2015-06-30,87654000000.0,240589000000.0,60845000000.0,,,5660000000.0,5660000000.0,3892000000.0,432768039.0,,,13088000000.0,13088000000.0,9110000000.0,GS
2015-09-30,87703000000.0,242370000000.0,65575000000.0,,,7706000000.0,7706000000.0,5318000000.0,427904332.0,,,11647000000.0,11647000000.0,8117000000.0,GS
2015-12-31,86728000000.0,242962000000.0,75105000000.0,,,-8522000000.0,-8522000000.0,-5971000000.0,419480736.0,,,8778000000.0,8778000000.0,6083000000.0,GS
2016-01-01,,,93439000000.0,,,,,,,,,,,,GS
2016-03-31,86837000000.0,253025000000.0,79169000000.0,,,1576000000.0,1576000000.0,1135000000.0,417572204.0,,,,,,GS
2016-06-30,86514000000.0,252115000000.0,103293000000.0,,,4039000000.0,4039000000.0,2957000000.0,406591645.0,,,,,,GS
